prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
559	5.011692795130893	IM-311	IM-359	S	E	0.0	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	S-174	E-401	S-174:Rare/weak regime	E-401:Sender commitment to information structure	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
560	5.011692795130893	IM-325	IM-004	M	P	0.0	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	FLOW RESHAPES ITS FUTURE CONDUIT	M-866; M-867; M-869; M-874; M-880	P-764; P-765; P-876; P-877; P-967; P-980	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-764:Dissolution + advection | P-765:Unstable reactive infiltration | P-876:Nonuniform electrodeposition | P-877:Metal plating | P-967:Filamentary switch | P-980:Repeated cycling	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
561	5.011692795130893	IM-325	IM-044	M	E;P	0.0	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	SAME AGGREGATE AMOUNT ≠ SAME FUNCTIONAL STATE	M-866; M-867; M-869; M-874; M-880	P-780; E-738; E-916	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-780:Strong evolving heterogeneity | E-738:Heterogeneous vintages | E-916:Heterogeneous banks	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
562	5.011692795130893	IM-325	IM-064	M	P	0.0	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	ONE FAILURE REDISTRIBUTES LOAD → SURVIVORS CLOSER TO FAILURE → CASCADE	M-866; M-867; M-869; M-874; M-880	P-194; P-195	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-194:Load-sharing rule | P-195:Interaction/load transfer	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
563	5.011692795130893	IM-325	IM-189	M	S	0.0	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	RANDOM-TIME OBSERVATION OVERREPRESENTS LONG-LIVED STATES/EPISODES	M-866; M-867; M-869; M-874; M-880	S-272	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-272: Duration-biased sampling	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
564	5.011692795130893	IM-325	IM-271	M	S	0.0	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	M-866; M-867; M-869; M-874; M-880	S-332; S-855	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-332:Latent-variable model | S-855:Violated local independence	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
565	5.011675699173454	IM-249	IM-300	M	S	0.015618604017672455	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	AN INTERVENTION CAN CREATE THE CONFOUNDER THAT LATER PREVENTS CLEAN DECOMPOSITION OF ITS OWN EFFECT	M-655	S-648; S-725	M-655:Potential equivalence	S-648:Time-varying causal structure | S-725:Longitudinal causal feedback	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
566	5.011337716959919	IM-088	IM-196	P	M	0.051867349139165186	0.1	0.0	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	P-355	M-279; M-280	P-355:Moving phase boundary	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
567	5.011226058161472	IM-269	IM-293	M	P	0.0412151639197073	0.0	0.0	A RARE MACRO EVENT IS OFTEN CONTROLLED BY THE LEAST-COST ATYPICAL PATH, NOT TYPICAL FLUCTUATIONS	FAST MICRO-MOTION CAN ALTER THE EFFECTIVE SLOW POTENTIAL AND STABILIZE AN OTHERWISE UNSTABLE STATE	M-115; M-156	P-114; P-115	M-115:Asymptotic exponential scaling | M-156:Path-space LDP	P-114:High-frequency forcing | P-115:Multi-scale forcing	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
568	5.009949586631858	IM-325	IM-165	M	P	0.015453309548275992	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	A LARGE-SCALE UNIVERSAL LAW CAN BE CORRECT WHILE MICRO-MECHANISM IDENTIFICATION FROM THAT LAW IS IMPOSSIBLE	M-866; M-867; M-869; M-874; M-880	P-158; P-030	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-158: Shared symmetry/dimension/conservation; P-030: Scale separation/controlled approximation	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
569	5.008997004489944	IM-149	IM-224	P	M	0.05243608735347163	0.0	0.0	RETURN CONTROL PARAMETERS TO THEIR STARTING VALUES AND STILL ACCUMULATE A NET EFFECT	CERTIFY STOCHASTIC STABILITY BY SHOWING ONE BADNESS FUNCTION HAS NEGATIVE EXPECTED DRIFT OUTSIDE A CORE REGION	P-079; P-331; P-332; P-334; P-335	M-331	P-079:Adiabatic/cyclic geometry | P-331:Gap + cyclic path | P-332:Adiabatic topology | P-334:Periodic stochastic driving | P-335:Adiabatic cyclic control	M-331:Markov dynamics	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
570	5.008069515954123	IM-280	IM-278	S	M	0.04096856911858793	0.0	0.0	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	ALTERNATING LOCAL CORRECTIONS MAY NEED A MEMORY OF PREVIOUS CORRECTION ERROR TO CONVERGE TO RIGHT GLOBAL OBJECT	S-390	M-159	S-390:Online feedback	M-159:Convex sets	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
571	5.007947063794887	IM-267	IM-364	M	E	0.059698560859379496	0.07142857142857142	0.0	THE VALUE OF PERFECT FUTURE INFORMATION CAN BE BOUNDED WITHOUT HAVING THAT INFORMATION	DECENTRALIZATION TRADES A LOCAL INFORMATION ADVANTAGE AGAINST OBJECTIVE MISALIGNMENT	M-345	E-231; E-232	M-345:Sequential selection	E-231:Information distribution | E-232:Misaligned incentives	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
572	5.005142895791067	IM-249	IM-140	M	P	0.022217544064813723	0.05555555555555555	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A CONSERVED/ACCUMULATING BURDEN CAN SELF-QUENCH GROWTH UNLESS A BOUNDARY EXPORT CHANNEL REMOVES IT	M-655	P-796; P-798	M-655:Potential equivalence	P-796:High conductivity | P-798:Open boundaries	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
573	5.004348114445864	IM-357	IM-131	E	S	0.052091020210167656	0.0	0.0	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	INFORMATION NEED NOT ENTER WITH WEIGHT 0 OR 1; LEARNING RATE CAN BE TEMPERED	E-099	S-430	E-099:Sequential social learning	S-430:Model misspecification	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
574	5.004183496075198	IM-088	IM-362	P	E	0.05207879369478416	0.0	0.0	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	WHEN PAYOFF DEPENDS ON WHAT OTHERS EXPECT, HIGHER-ORDER BELIEFS CAN DOMINATE FUNDAMENTAL VALUE	P-355	E-098	P-355:Moving phase boundary	E-098:Higher-order beliefs	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
575	5.002716397993619	IM-269	IM-156	M	E;P	0.04054958039134398	0.0	0.0	A RARE MACRO EVENT IS OFTEN CONTROLLED BY THE LEAST-COST ATYPICAL PATH, NOT TYPICAL FLUCTUATIONS	SYMMETRIC RULES CAN PRODUCE AN ASYMMETRIC REALIZED STATE; TINY COORDINATION SIGNALS CAN SELECT WHICH ONE	M-115; M-156	P-014; E-155; E-156	M-115:Asymptotic exponential scaling | M-156:Path-space LDP	P-014:Degeneracy/instability | E-155:Multiple equilibria | E-156:Expectations coordination	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
576	5.002674599241693	IM-311	IM-374	S	P	0.022867066442127215	0.0625	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	REPEATED INDIVIDUALLY SUBCRITICAL LOAD CYCLES CAN GROW A HIDDEN DEFECT UNTIL FAILURE	S-174	P-233	S-174:Rare/weak regime	P-233:Cyclic loading	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
577	5.00266370290934	IM-181	IM-311	M	S	0.00851678520757071	0.0625	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	M-431; M-432	S-174	M-431: PDE boundary access; M-432: Elliptic PDE	S-174:Rare/weak regime	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
578	5.002367669530155	IM-311	IM-147	S	P	0.032485592996489024	0.07142857142857142	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A VANISHINGLY SMALL SUBSET CAN DOMINATE LONG-TIME OR AGGREGATE BEHAVIOR	S-174	P-154	S-174:Rare/weak regime	P-154:Disorder/extreme heterogeneity	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
579	5.001223852654723	IM-206	IM-165	M	P	0.014613420746217902	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A LARGE-SCALE UNIVERSAL LAW CAN BE CORRECT WHILE MICRO-MECHANISM IDENTIFICATION FROM THAT LAW IS IMPOSSIBLE	M-125; M-126	P-158; P-030	M-125: Regularity assumptions; M-126: Summability structure	P-158: Shared symmetry/dimension/conservation; P-030: Scale separation/controlled approximation	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
580	5.000834290845711	IM-196	IM-365	M	E	0.014575754091958399	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	AN UNPRICED EXTERNAL EFFECT CAN BE INTERNALIZED BY ADDING ITS MARGINAL SOCIAL COST TO THE PRIVATE DECISION	M-279; M-280	E-049; E-201	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	E-049:External cost/benefit measurable | E-201:Externality measurement	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
581	5.000064229505076	IM-311	IM-365	S	E	0.014501253842728415	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	AN UNPRICED EXTERNAL EFFECT CAN BE INTERNALIZED BY ADDING ITS MARGINAL SOCIAL COST TO THE PRIVATE DECISION	S-174	E-049; E-201	S-174:Rare/weak regime	E-049:External cost/benefit measurable | E-201:Externality measurement	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
582	4.999723440795561	IM-250	IM-301	M	P	0.059099905815540116	0.0	0.0	LOCAL SAFE-DIRECTION CONDITIONS AT EVERY BOUNDARY POINT CAN CERTIFY GLOBAL VIABILITY	WHEN DESIRED CONTRIBUTIONS DEPHASE AND CANCEL, PERIODIC SIGN REVERSAL CAN RESET PHASE AND MAKE THEM ACCUMULATE	M-289; M-290	P-289	M-289:Tangency conditions | M-290:Closed constraint set	P-289:Engineered modulation	mechanism/structural	certificate/exact;bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
583	4.999222599819413	IM-311	IM-244	S	M	0.022096680545219818	0.058823529411764705	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	DECENTRALIZED LOCAL INCENTIVE MOVES CAN SOMETIMES BE REPRESENTED BY ONE GLOBAL POTENTIAL LANDSCAPE	S-174	M-286	S-174:Rare/weak regime	M-286:Exact/ordinal potential structure	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
584	4.999170222399243	IM-325	IM-361	M	E	0.014414690257138138	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	VOLUNTARY VERIFIABLE DISCLOSURE CAN UNRAVEL RECURSIVELY FROM THE BEST TYPE DOWNWARD	M-866; M-867; M-869; M-874; M-880	E-410	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	E-410:Ordered types + verifiable info	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
585	4.998463636448841	IM-269	IM-091	M	S	0.04021599444828334	0.0	0.0	A RARE MACRO EVENT IS OFTEN CONTROLLED BY THE LEAST-COST ATYPICAL PATH, NOT TYPICAL FLUCTUATIONS	PATH-SPECIFIC EFFECT MAY BE UNIDENTIFIABLE BECAUSE AN INTERMEDIATE WOULD NEED INCOMPATIBLE STATES	M-115; M-156	S-652; S-653	M-115:Asymptotic exponential scaling | M-156:Path-space LDP	S-652:Causal DAG | S-653:Conflicting path assignments	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
586	4.998249193857612	IM-336	IM-359	S	E	0.04019915647837376	0.0	0.0	THE KNOWN RANDOMIZATION MECHANISM CAN ITSELF GENERATE AN EXACT REFERENCE DISTRIBUTION	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	S-149	E-401	S-149:Known randomization	E-401:Sender commitment to information structure	mechanism/structural	certificate/exact;probabilistic	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
587	4.997863783787988	IM-206	IM-363	M	E	0.02423204609352311	0.07692307692307693	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	RAISING PRICE CAN FAIL TO CLEAR A MARKET BECAUSE PRICE CHANGES THE QUALITY OR BEHAVIOR OF WHO REMAINS	M-125; M-126	E-090	M-125: Regularity assumptions; M-126: Summability structure	E-090:Adverse selection/moral hazard	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
588	4.997478421306564	IM-311	IM-248	S	M	0.023517269568814315	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	GEOMETRICALLY NONEMPTY/LARGE-LOOKING SETS CAN BE EFFECTIVELY INVISIBLE TO A GIVEN PHYSICAL/PROBABILISTIC PROCESS	S-174	M-651; M-652; M-654	S-174:Rare/weak regime	M-651:Compact planar set | M-652:Higher-dimensional potential theory | M-654:Zero capacity	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
589	4.997088330705699	IM-253	IM-171	M	P	0.04010797711205371	0.0	0.0	PROJECT ONTO A CONSTRAINT FAMILY SO TOTAL MISMATCH SPLITS INTO EXPLAINED ADJUSTMENT + RESIDUAL MISMATCH	A LOCALLY CAPABLE SOURCE MAY FAIL TO PROPAGATE BECAUSE THE DOWNSTREAM SINK/LOAD IS TOO LARGE	M-271; M-274	P-473; P-999	M-271:Divergence geometry | M-274:Appropriate divergence/manifold	P-473: Excitation current balance; P-999: Geometry + finite coupling	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
590	4.996963361546537	IM-221	IM-038	P	E;M;S	0.051542019280781684	0.0	0.0	ABANDON EXTREME SLOW TRAJECTORIES AND RESTART; MEAN COMPLETION CAN IMPROVE EVEN THOUGH WORK IS DISCARDED	FULL OBJECT UNIDENTIFIED, TARGET FUNCTION CAN STILL BE IDENTIFIED	P-131	S-008; S-131; M-428; E-404	P-131:Heavy-tail/variable completion time	S-008:“Information” is target/model specific | S-131:Weak assumptions | M-428:Realization equivalence | E-404:Experiments/signals	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
591	4.993316313043161	IM-227	IM-381	M	P	0.03981136922164623	0.0	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	A PROPAGATING EXCITATION CAN BECOME SELF-SUSTAINING ON A LOOP IF RETURN TIME EXCEEDS LOCAL RECOVERY TIME	M-317	P-984; P-985; P-994; P-1000	M-317:Continuous semimartingale	P-984:Recovery variable | P-985:Fast–slow system | P-994:Recovery + closed path | P-1000:State-dependent connectivity	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
592	4.991000834610523	IM-107	IM-196	S	M	0.03962903719733716	0.0	0.0	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	S-131; S-136; S-447	M-279; M-280	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
593	4.987699928293964	IM-225	IM-360	M	E	0.013297080354339434	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	COSTLESS NONBINDING MESSAGES ARE INFORMATIVE ONLY TO THE EXTENT SENDER AND RECEIVER INCENTIVES ALIGN	M-311; M-313	E-406	M-311:Martingale difference structure | M-313:Martingale variance process	E-406:Nonbinding communication	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
594	4.987229678498345	IM-127	IM-050	S	E;M;P	0.039331654338928546	0.0	0.0	WHEN TWO ACTIONS ALMOST EQUALLY GOOD, ESTIMATED BEST ACTION CAN BE UNSTABLE EVEN IF VALUE IS STABLE	COARSE AVERAGE CAN LOSE THE VARIABLE THAT ACTUALLY CLOSES THE DYNAMICS	S-738	M-147; M-689; E-916; E-738; P-780	S-738:Near-zero treatment contrast	M-147:Transition compatibility | M-689:Many-to-one dynamics map | E-916:Heterogeneous banks | E-738:Heterogeneous vintages | P-780:Strong evolving heterogeneity	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
